ID;Verein;Position;Elo;EAR-180;Elo-Rang;Elo-ID;Elo-Name
pl-k00172237;Ghana;FORWARD;1375.1;-0.5;4682;410016;P. Adu
pl-k00172933;Schottland;MIDFIELDER;1503.0;1.2;3409;433272;Findlay Curtis
pl-k00173156;Neuseeland;DEFENDER;1615.2;1.44;2334;94405;F. de Vries
pl-k00173161;Australien;DEFENDER;1474.0;1.65;3697;426480;L. Herrington
pl-k00173746;Bosnien-Herzegowina;DEFENDER;1523.2;;3210;395589;N. Čelik
pl-k00174370;Spanien;FORWARD;1773.5;0.23;1133;338751;Víctor Muñoz
pl-k00174671;Japan;FORWARD;1670.7;-0.06;1855;375930;K. Goto
pl-k00174699;Mexiko;MIDFIELDER;1538.1;0.48;3064;482605;G. Mora
pl-k00174794;Elfenbeinküste;FORWARD;1670.6;-0.02;1856;387643;B. Touré
pl-k00176299;Elfenbeinküste;FORWARD;1823.9;3.84;867;513776;Y. Diomande
pl-k00176354;Norwegen;DEFENDER;1721.5;0.95;1459;180937;H. Falchener
pl-k00176368;Südafrika;DEFENDER;1434.9;0.0;4085;430078;S. Kabini
pl-k00176529;Ägypten;FORWARD;1131.6;;7115;506384;Hamza Abdelkarim
pl-k00177011;Saudi-Arabien;DEFENDER;1836.6;-0.49;804;202381;Moteb Al Harbi
pl-k00177016;Südafrika;FORWARD;1407.7;-0.49;4356;127429;I. Rayners
pl-k00177713;Tschechien;MIDFIELDER;1380.6;;4627;555437;H. Sochurek
pl-k00177919;Mexiko;DEFENDER;1616.8;0.69;2320;390002;M. Chávez
pl-k00177949;Haiti;DEFENDER;1260.9;0.0;5822;102505;D. Lacroix
pl-k00177969;Saudi-Arabien;DEFENDER;1845.9;0.23;755;134995;Nawaf Boushal
pl-k00177972;Saudi-Arabien;MIDFIELDER;1851.3;1.64;728;269172;Ziyad Al Johani
pl-k00177974;Saudi-Arabien;FORWARD;1307.6;-0.24;5356;44322;Abdullah Al Salem
pl-k00177978;Saudi-Arabien;DEFENDER;2006.8;-0.02;245;44367;Ali Majrashi
pl-k00177981;Panama;DEFENDER;1328.6;0.0;5147;57803;J. Gutiérrez
pl-k00178067;Tunesien;FORWARD;1430.1;;4133;566059;R. Elloumi
pl-k00178191;Südafrika;DEFENDER;1460.3;0.43;3832;406752;I. Okon
pl-k00179915;Jordanien;FORWARD;747.6;-0.72;10933;432841;Ibrahim Sabra
pl-k00180202;Ghana;DEFENDER;1590.1;0.68;2569;404172;K. Peprah Oppong
pl-k00180334;Tunesien;FORWARD;923.8;-0.74;9192;344862;H. Mastouri
pl-k00181348;Tunesien;DEFENDER;1128.7;0.91;7144;393977;A. Arous
pl-k00181848;Australien;MIDFIELDER;1340.5;1.92;5028;441269;Paul Michael Junior Okon-Engstler
pl-k00182019;Paraguay;DEFENDER;877.7;;9651;129802;E. Maidana
pl-k00182504;Saudi-Arabien;MIDFIELDER;1714.2;-0.24;1514;2639;Sultan Mandash
pl-k00182644;Saudi-Arabien;MIDFIELDER;1936.7;2.37;408;403087;Mohammed Abu Al Shamat
pl-k00182788;Saudi-Arabien;DEFENDER;1936.7;2.37;408;403087;Mohammed Abu Al Shamat
pl-k00182789;Saudi-Arabien;DEFENDER;1529.4;;3149;543059;J. Thakri
pl-k00182969;Paraguay;MIDFIELDER;1211.2;0.0;6319;363117;L. Romero
pl-k00183122;Jordanien;DEFENDER;1276.3;;5668;102538;M. Abualnadi
pl-k00183124;Jordanien;DEFENDER;1346.7;;4966;213978;Saed Al Rosan
pl-k00183130;Jordanien;MIDFIELDER;1023.7;-0.24;8194;198211;Amer Jamous
pl-k00183139;Jordanien;FORWARD;883.2;;9597;409444;Ali Ahmad Azaizeh
pl-k00183142;Jordanien;FORWARD;1079.1;;7640;492980;Odeh Al Fakhouri
pl-k00183298;Usbekistan;MIDFIELDER;1329.7;-0.24;5136;73522;A. Mozgovoy
pl-k00183340;Iran;GOALKEEPER;941.6;;9015;409495;M. Khalifeh
pl-k00183346;Iran;DEFENDER;1385.2;0.0;4581;29809;A. Nemati
pl-k00183407;Kap Verde;MIDFIELDER;951.7;;8914;128007;Yannick Semedo
pl-k00183839;Saudi-Arabien;MIDFIELDER;1480.6;0.43;3631;43953;Ala Al Hajji
pl-k00184849;Katar;GOALKEEPER;1501.8;-0.24;3421;42207;Mahmud Abunada
pl-k00184850;Katar;DEFENDER;1464.0;;3796;542548;A. Al Oui
pl-k00184851;Katar;FORWARD;1197.4;;6457;423737;Tahsin Jamshid
pl-k00185671;Ghana;GOALKEEPER;888.6;;9543;214311;F. Asare
pl-k00185831;Haiti;DEFENDER;1191.6;;6515;573613;K. Thermoncy
pl-k00186303;Iran;FORWARD;910.4;;9326;89912;Hadi Habibinejad
pl-k00186316;Katar;DEFENDER;1247.8;;5953;42025;Hussain Bahzad
pl-k00186356;Mexiko;FORWARD;1691.9;-0.27;1691;291713;A. González
pl-k00186383;Marokko;DEFENDER;1492.5;-0.49;3513;146772;Y. Belammari
pl-k00186771;Südafrika;GOALKEEPER;1498.6;1.2;3453;46417;S. Chaine
pl-k00186772;Südafrika;DEFENDER;1107.2;1.19;7359;330174;T. Matuludi
pl-k00186773;Südafrika;DEFENDER;1600.2;1.88;2474;510799;M. Mbokazi
pl-k00186805;Südafrika;MIDFIELDER;1487.1;3.35;3567;194430;T. Mbatha
pl-k00186806;Südafrika;FORWARD;1451.5;2.4;3919;414149;R. Mofokeng
pl-k00186807;Südafrika;FORWARD;1314.8;0.7;5284;295977;T. Moremi
pl-k00187286;Algerien;FORWARD;1551.7;-0.48;2932;329163;A. Boulbina
pl-k00187495;Algerien;FORWARD;1339.1;;5042;533838;B. Redouane
pl-k00187691;Senegal;MIDFIELDER;1465.5;0.0;3781;451;B. Ndiaye
pl-k00192544;Ecuador;FORWARD;1308.3;0.72;5349;426630;Bruno Steven Caicedo Quiñonez
pl-k00194142;Schweden;DEFENDER;1602.3;1.68;2454;226765;E. Stroud
pl-k00194337;Südafrika;DEFENDER;1349.4;2.64;4939;359561;K. Sebelebele
pl-k00194341;Katar;DEFENDER;1151.7;;6914;366516;Gueye Laye
pl-k00194733;Haiti;MIDFIELDER;915.8;;9272;371050;W. Pierre
pl-k00195273;Irak;MIDFIELDER;1374.9;0.23;4684;72131;Dhurgham Ismail
pl-k00195274;Irak;FORWARD;1080.0;;7631;53894;Mohanad Ali
pl-k00195395;Jordanien;MIDFIELDER;1413.9;0.0;4294;310785;Mohannad Abu Taha
pl-k00195396;Jordanien;MIDFIELDER;763.8;;10778;409513;Arafat Mohammad Fahid
pl-k00195446;Tunesien;DEFENDER;1220.6;0.0;6225;375608;M. Neffati
pl-k00195447;Tunesien;DEFENDER;1339.3;0.0;5040;49701;H. Chikhaoui
pl-k00195453;Usbekistan;FORWARD;1176.2;;6669;73585;D. Temirov
pl-k00195655;Algerien;DEFENDER;901.3;;9417;342740;A. Abada
pl-k00195662;Ägypten;GOALKEEPER;935.2;-0.24;9078;16996;El Hany Soliman
pl-k00195663;Ägypten;GOALKEEPER;1019.1;-0.24;8240;498250;Mohamed Alaa
pl-k00195664;Ägypten;DEFENDER;1002.5;;8406;446971;Tarek Alaa
pl-k00196610;Ecuador;MIDFIELDER;1227.0;;6161;482352;Ederson Castillo
pl-k00200613;Irak;DEFENDER;979.2;0.0;8639;72132;Maytham Jabbar
pl-k00200616;Irak;MIDFIELDER;903.8;;9392;72134;Karar Nabeel
pl-k00200629;Ägypten;MIDFIELDER;842.8;-0.01;9998;17078;Ahmed Mostafa
pl-k00201006;Ecuador;DEFENDER;1165.5;0.0;6776;1861;F. Caicedo
pl-k00201011;Usbekistan;DEFENDER;1352.0;;4913;65571;A. Ulmasaliev
