ID;Verein;Position;Marktwert TM;TM-Stärke;exp_games;Erwartete Spiele (TM);exp_gd;Erwartete Tordifferenz (TM)
pl-k00112730;Südkorea;DEFENDER;1500000;0.06;4.339;0.2603;0.171;0.0103
pl-k00112780;Japan;DEFENDER;12000000;0.4;4.848;1.9392;1.906;0.7624
pl-k00112823;Curacao;FORWARD;;0.0;3.121;0.0;-6.73;-0.0
pl-k00112868;Usbekistan;FORWARD;5000000;0.1429;3.684;0.5263;-2.905;-0.415
pl-k00112929;Niederlande;DEFENDER;35000000;0.3889;5.268;2.0487;3.773;1.4673
pl-k00112936;Kroatien;GOALKEEPER;6000000;0.0857;4.93;0.4226;2.779;0.2382
pl-k00113011;Usbekistan;FORWARD;750000;0.0214;3.684;0.0789;-2.905;-0.0622
pl-k00113069;DR Kongo;GOALKEEPER;;0.0;3.371;0.0;-4.126;-0.0
pl-k00113146;Panama;DEFENDER;1000000;0.1;3.879;0.3879;-2.104;-0.2104
pl-k00113163;Argentinien;DEFENDER;4500000;0.045;5.991;0.2696;8.658;0.3896
pl-k00113179;Argentinien;FORWARD;100000000;1.0;5.991;5.991;8.658;8.658
pl-k00113185;USA;DEFENDER;7000000;0.1167;3.74;0.4363;-2.316;-0.2702
pl-k00113214;England;MIDFIELDER;70000000;0.4375;5.687;2.4881;6.383;2.7926
pl-k00113407;England;FORWARD;130000000;0.8125;5.687;4.6207;6.383;5.1862
pl-k00113426;USA;MIDFIELDER;;0.0;3.74;0.0;-2.316;-0.0
pl-k00113510;Mexiko;MIDFIELDER;7000000;0.175;4.905;0.8584;2.864;0.5012
pl-k00113695;Iran;GOALKEEPER;;0.0;4.3;0.0;-0.05;-0.0
pl-k00113749;Irak;GOALKEEPER;;0.0;3.185;0.0;-5.568;-0.0
pl-k00113751;Irak;DEFENDER;;0.0;3.185;0.0;-5.568;-0.0
pl-k00113754;Irak;DEFENDER;400000;0.1333;3.185;0.4247;-5.568;-0.7424
pl-k00113759;Irak;FORWARD;350000;0.1167;3.185;0.3716;-5.568;-0.6496
pl-k00113856;Usbekistan;GOALKEEPER;;0.0;3.684;0.0;-2.905;-0.0
pl-k00113863;Usbekistan;DEFENDER;;0.0;3.684;0.0;-2.905;-0.0
pl-k00113866;Usbekistan;MIDFIELDER;;0.0;3.684;0.0;-2.905;-0.0
pl-k00113867;Usbekistan;MIDFIELDER;1600000;0.0457;3.684;0.1684;-2.905;-0.1328
pl-k00113914;Argentinien;DEFENDER;20000000;0.2;5.991;1.1982;8.658;1.7316
pl-k00113916;Katar;MIDFIELDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113920;Katar;MIDFIELDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113922;Katar;FORWARD;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113924;Katar;DEFENDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113925;Katar;MIDFIELDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113926;Katar;DEFENDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113927;Katar;MIDFIELDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113930;Katar;FORWARD;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113931;Katar;DEFENDER;;0.0;3.194;0.0;-5.532;-0.0
pl-k00113932;Katar;MIDFIELDER;300000;0.0667;3.194;0.2129;-5.532;-0.3688
pl-k00113966;Saudi-Arabien;DEFENDER;;0.0;3.316;0.0;-5.57;-0.0
pl-k00113975;Usbekistan;FORWARD;1700000;0.0486;3.684;0.1789;-2.905;-0.1411
pl-k00114084;Jordanien;DEFENDER;;0.0;3.484;0.0;-3.906;-0.0
pl-k00114094;Jordanien;DEFENDER;;0.0;3.484;0.0;-3.906;-0.0
pl-k00114256;Ecuador;GOALKEEPER;;0.0;5.04;0.0;4.088;0.0
pl-k00114257;Ecuador;DEFENDER;3300000;0.03;5.04;0.1512;4.088;0.1226
pl-k00114259;Ecuador;MIDFIELDER;;0.0;5.04;0.0;4.088;0.0
pl-k00114277;Ecuador;FORWARD;5000000;0.0455;5.04;0.2291;4.088;0.1858
pl-k00114290;Paraguay;MIDFIELDER;;0.0;4.452;0.0;0.178;0.0
pl-k00114307;Paraguay;GOALKEEPER;;0.0;4.452;0.0;0.178;0.0
pl-k00114311;Uruguay;DEFENDER;;0.0;4.672;0.0;1.55;0.0
pl-k00114315;Uruguay;FORWARD;;0.0;4.672;0.0;1.55;0.0
pl-k00114317;Uruguay;MIDFIELDER;20000000;0.1667;4.672;0.7787;1.55;0.2583
pl-k00114335;Uruguay;FORWARD;70000000;0.5833;4.672;2.7253;1.55;0.9042
pl-k00114376;Argentinien;DEFENDER;20000000;0.2;5.991;1.1982;8.658;1.7316
pl-k00114381;Argentinien;MIDFIELDER;20000000;0.2;5.991;1.1982;8.658;1.7316
pl-k00114540;Argentinien;MIDFIELDER;85000000;0.85;5.991;5.0924;8.658;7.3593
pl-k00114723;Frankreich;MIDFIELDER;50000000;0.2778;6.141;1.7058;7.58;2.1056
pl-k00114736;Deutschland;FORWARD;30000000;0.2308;5.097;1.1762;3.97;0.9162
pl-k00114740;Ghana;MIDFIELDER;300000;0.0046;3.144;0.0145;-6.374;-0.0294
pl-k00114796;Tunesien;MIDFIELDER;9000000;1.0;3.434;3.434;-3.766;-3.766
pl-k00114872;Curacao;FORWARD;3000000;0.6667;3.121;2.0807;-6.73;-4.4867
pl-k00114972;Kanada;GOALKEEPER;;0.0;4.653;0.0;1.822;0.0
pl-k00114978;Kanada;MIDFIELDER;8000000;0.16;4.653;0.7445;1.822;0.2915
