ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00100766;Pedro;Lomba Neto;Pedro Neto;Pedro Neto;Portugal;FORWARD;6000000;0;0.0
pl-k00100775;Eric;Garcia Martret;Eric;Eric;Spanien;DEFENDER;4000000;0;0.0
pl-k00100782;Ferran;Torres Garcia;Ferran Torres;Ferran Torres;Spanien;FORWARD;6000000;18;3.63
pl-k00100789;Marc;Guehi;Guehi;Marc Guehi;England;DEFENDER;6000000;0;0.0
pl-k00100804;Ozan;Kabak;Kabak;Ozan Kabak;Türkei;DEFENDER;4000000;0;0.0
pl-k00100814;Yunus;Akgün;Akgün;Yunus Akgün;Türkei;FORWARD;4000000;0;0.0
pl-k00100992;Riley;McGree;McGree;Riley McGree;Australien;MIDFIELDER;2000000;5;4.25
pl-k00101025;Michael;Boxall;Boxall;Michael Boxall;Neuseeland;DEFENDER;1000000;0;0.0
pl-k00101031;Alex;Rufer;Rufer;Alex Rufer;Neuseeland;MIDFIELDER;1000000;0;0.0
pl-k00101100;Takefusa;Kubo;Kubo;Takefusa Kubo;Japan;MIDFIELDER;6000000;-2;4.75
pl-k00101109;Nikola;Katic;Katic;Nikola Katic;Bosnien-Herzegowina;DEFENDER;4000000;0;0.0
pl-k00101120;Yehvann;Diouf;Y. Diouf;Yehvann Diouf;Senegal;GOALKEEPER;2000000;0;0.0
pl-k00101133;Dean;Henderson;D. Henderson;Dean Henderson;England;GOALKEEPER;2000000;0;0.0
pl-k00101135;Ezri;Konsa;Konsa;Ezri Konsa;England;DEFENDER;8000000;0;0.0
pl-k00101264;Tomas;Chory;Chory;Tomas Chory;Tschechien;FORWARD;2000000;0;0.0
pl-k00101284;Santiago;Bueno;S. Bueno;Santiago Bueno;Uruguay;DEFENDER;2000000;0;0.0
pl-k00101285;Santiago;Mele;Mele;Santiago Mele;Uruguay;GOALKEEPER;1000000;0;0.0
pl-k00101287;José Luis;Rodriguez;J. Rodriguez;José Luis Rodriguez;Uruguay;DEFENDER;1000000;0;0.0
pl-k00101288;Mathias;Olivera;M. Olivera;Mathias Olivera;Uruguay;DEFENDER;4000000;10;3.67
pl-k00101293;Nicolas;de la Cruz;de la Cruz;Nicolas de la Cruz;Uruguay;MIDFIELDER;2000000;4;0.0
pl-k00101298;Federico Santiago;Valverde Dipetta;Fede Valverde;Fede Valverde;Uruguay;MIDFIELDER;8000000;10;3.67
pl-k00101299;Matias;Vina;Vina;Matias Vina;Uruguay;DEFENDER;2000000;4;0.0
pl-k00101301;Agustin;Canobbio;Canobbio;Agustin Canobbio;Uruguay;FORWARD;2000000;2;0.0
pl-k00101347;Nicolas;Tagliafico;Tagliafico;Nicolas Tagliafico;Argentinien;DEFENDER;4000000;22;3.3
pl-k00101356;Ibrahima;Konaté;Konaté;Ibrahima Konaté;Frankreich;DEFENDER;6000000;22;3.0
pl-k00101378;Bruno;Guimaraes Rodriguez Moura;Bruno Guimaraes;Bruno Guimaraes;Brasilien;MIDFIELDER;6000000;8;3.0
pl-k00101481;Daichi;Kamada;Kamada;Daichi Kamada;Japan;MIDFIELDER;6000000;8;4.0
pl-k00101588;Viktor;Johansson;Johansson;Viktor Johansson;Schweden;GOALKEEPER;2000000;0;0.0
pl-k00101599;Viktor;Gyökeres;Gyökeres;Viktor Gyökeres;Schweden;FORWARD;8000000;0;0.0
pl-k00101605;Gleison Bremer;Silva Nascimento;Bremer;Bremer;Brasilien;DEFENDER;4000000;8;3.0
pl-k00101629;Rafael Alexandre;da Conceicao Leao;Rafael Leao;Rafael Leao;Portugal;FORWARD;6000000;16;0.0
pl-k00101633;Armando;Obispo;Obispo;Armando Obispo;Curacao;DEFENDER;2000000;0;0.0
pl-k00101636;Teun;Koopmeiners;T. Koopmeiners;Teun Koopmeiners;Niederlande;MIDFIELDER;4000000;15;3.33
pl-k00101638;Noa;Lang;Lang;Noa Lang;Niederlande;FORWARD;4000000;2;0.0
pl-k00101663;Reece;James;James;Reece James;England;DEFENDER;6000000;0;0.0
pl-k00101765;Sasa;Kalajdzic;Kalajdzic;Sasa Kalajdzic;Österreich;FORWARD;2000000;0;0.0
pl-k00101781;Matheus;Santos Carneiro de Cunha;Matheus Cunha;Matheus Cunha;Brasilien;FORWARD;8000000;0;0.0
pl-k00101783;Ruben;Vargas;Vargas;Ruben Vargas;Schweiz;FORWARD;4000000;11;3.88
pl-k00101913;Edgar Yoel;Barcenas;Barcenas;Edgar Yoel Barcenas;Panama;MIDFIELDER;2000000;0;0.0
pl-k00101917;Orlando;Mosquera;Mosquera;Orlando Mosquera;Panama;GOALKEEPER;4000000;0;0.0
pl-k00102015;Jurien;Gaari;Gaari;Jurien Gaari;Curacao;DEFENDER;1000000;0;0.0
pl-k00102117;Moussa;Niakhaté;Niakhaté;Moussa Niakhaté;Senegal;DEFENDER;4000000;0;0.0
pl-k00102402;Donyell;Malen;Malen;Donyell Malen;Niederlande;FORWARD;6000000;0;0.0
pl-k00102731;Josip;Stanisic;Stanisic;Josip Stanisic;Kroatien;DEFENDER;6000000;2;4.0
pl-k00102793;Nuno Miguel;da Costa Joia;Nuno da Costa;Nuno da Costa;Kap Verde;FORWARD;1000000;0;0.0
pl-k00102800;Christoph;Baumgartner;Baumgartner;Christoph Baumgartner;Österreich;MIDFIELDER;6000000;0;0.0
pl-k00102817;Ritsu;Doan;Doan;Ritsu Doan;Japan;MIDFIELDER;6000000;23;3.5
pl-k00103233;Samuel;Moutoussamy;Moutoussamy;Samuel Moutoussamy;DR Kongo;MIDFIELDER;2000000;0;0.0
pl-k00103347;Marco;Pasalic;Marco Pasalic;Marco Pasalic;Kroatien;FORWARD;1000000;0;0.0
pl-k00103453;Tijjani;Reijnders;Reijnders;Tijjani Reijnders;Niederlande;MIDFIELDER;6000000;0;0.0
pl-k00103601;Trevor;Doornbusch;Doornbusch;Trevor Doornbusch;Curacao;GOALKEEPER;1000000;0;0.0
pl-k00103776;Yusuf;Sari;Sari;Yusuf Sari;Türkei;FORWARD;2000000;0;0.0
pl-k00103853;Min-Jae;Kim;M.-J. Kim;Min-Jae Kim;Südkorea;DEFENDER;6000000;2;4.33
pl-k00103860;Hyeon-Woo;Jo;H.-W. Jo;Hyeon-Woo Jo;Südkorea;GOALKEEPER;1000000;0;0.0
pl-k00103878;Omar;Marmoush;Marmoush;Omar Marmoush;Ägypten;FORWARD;8000000;0;0.0
pl-k00104033;Gideon;Mensah;Mensah;Gideon Mensah;Ghana;DEFENDER;2000000;5;3.5
pl-k00104228;Ramin;Rezaeian;Rezaeian;Ramin Rezaeian;Iran;DEFENDER;1000000;22;2.75
pl-k00104230;Nicolas;Raskin;Raskin;Nicolas Raskin;Belgien;MIDFIELDER;2000000;0;0.0
pl-k00104271;Harry;Souttar;Souttar;Harry Souttar;Australien;DEFENDER;2000000;21;3.38
pl-k00104274;Elisha;Owusu;Owusu;Elisha Owusu;Ghana;MIDFIELDER;2000000;0;0.0
pl-k00104317;Angelo;Stiller;Stiller;Angelo Stiller;Deutschland;MIDFIELDER;4000000;0;0.0
pl-k00104437;Amirhossein;Hosseinzadeh;Hosseinzadeh;Amirhossein Hosseinzadeh;Iran;FORWARD;2000000;0;0.0
pl-k00104441;Martin;Zlomislic;Zlomislic;Martin Zlomislic;Bosnien-Herzegowina;GOALKEEPER;2000000;0;0.0
pl-k00104485;Julian;Ryerson;Ryerson;Julian Ryerson;Norwegen;DEFENDER;6000000;0;0.0
pl-k00104568;Mohammed;Al-Owais;Al-Owais;Mohammed Al-Owais;Saudi-Arabien;GOALKEEPER;2000000;24;2.5
pl-k00104581;Salem;Al-Dawsari;S. Al-Dawsari;Salem Al-Dawsari;Saudi-Arabien;MIDFIELDER;2000000;23;3.33
pl-k00104617;Jaminton;Campaz;Campaz;Jaminton Campaz;Kolumbien;MIDFIELDER;2000000;0;0.0
pl-k00104723;Milad;Mohammadi;Mohammadi;Milad Mohammadi;Iran;DEFENDER;2000000;4;4.17
pl-k00104727;Hossein;Kanaani;Kanaani;Hossein Kanaani;Iran;DEFENDER;2000000;0;4.0
pl-k00104729;Mehdi;Torabi;Torabi;Mehdi Torabi;Iran;MIDFIELDER;1000000;6;0.0
pl-k00104730;Rouzbeh;Cheshmi;Cheshmi;Rouzbeh Cheshmi;Iran;MIDFIELDER;1000000;9;3.75
pl-k00104735;Mehdi;Taremi;Taremi;Mehdi Taremi;Iran;FORWARD;4000000;21;3.33
pl-k00104808;Max;Crocombe;Crocombe;Max Crocombe;Neuseeland;GOALKEEPER;2000000;0;0.0
pl-k00104953;José;Fajardo;Fajardo;José Fajardo;Panama;FORWARD;2000000;0;0.0
pl-k00104975;Keito;Nakamura;Nakamura;Keito Nakamura;Japan;MIDFIELDER;4000000;0;0.0
pl-k00104978;Adam;Hlozek;Hlozek;Adam Hlozek;Tschechien;FORWARD;4000000;0;0.0
pl-k00105008;Callum;McCowatt;McCowatt;Callum McCowatt;Neuseeland;MIDFIELDER;2000000;0;0.0
pl-k00105138;Ahmed Reda;Tagnaouti;Tagnaouti;Ahmed Reda Tagnaouti;Marokko;GOALKEEPER;1000000;0;0.0
pl-k00105180;Jamie;Leweling;Leweling;Jamie Leweling;Deutschland;MIDFIELDER;4000000;0;0.0
pl-k00105212;Ersin;Destanoglu;Destanoglu;Ersin Destanoglu;Türkei;GOALKEEPER;1000000;0;0.0
pl-k00105223;Anthony;Gordon;Gordon;Anthony Gordon;England;FORWARD;6000000;0;0.0
pl-k00105391;Junya;Ito;J. Ito;Junya Ito;Japan;MIDFIELDER;2000000;21;3.0
pl-k00105434;Noussair;Mazraoui;Mazraoui;Noussair Mazraoui;Marokko;DEFENDER;4000000;26;3.2
pl-k00105471;Jacob;Italiano;Italiano;Jacob Italiano;Australien;DEFENDER;2000000;0;0.0
pl-k00105695;Abdullah;Al-Hamdan;Al-Hamdan;Abdullah Al-Hamdan;Saudi-Arabien;FORWARD;1000000;0;0.0
pl-k00105718;Mustafa;Eskihellac;Eskihellac;Mustafa Eskihellac;Türkei;DEFENDER;2000000;0;0.0
pl-k00105800;Stephen;Eustaquio;Eustaquio;Stephen Eustaquio;Kanada;MIDFIELDER;4000000;12;3.0
pl-k00105812;Cody;Gakpo;Gakpo;Cody Gakpo;Niederlande;FORWARD;8000000;34;3.4
pl-k00105828;Ali;Abdi;Abdi;Ali Abdi;Tunesien;DEFENDER;2000000;10;3.5
pl-k00105829;Dylan;Bronn;Bronn;Dylan Bronn;Tunesien;DEFENDER;2000000;8;3.5
pl-k00105836;Firas;Chaouat;Chaouat;Firas Chaouat;Tunesien;FORWARD;1000000;0;0.0
pl-k00105876;Jack;Hendry;Hendry;Jack Hendry;Schottland;DEFENDER;2000000;0;0.0
pl-k00105950;Seyed Hossein;Hosseini;Hosseini;Seyed Hossein Hosseini;Iran;GOALKEEPER;1000000;8;3.5
pl-k00105955;Omid;Noorafkan;Noorafkan;Omid Noorafkan;Iran;MIDFIELDER;1000000;0;0.0
pl-k00105961;Ali;Alipour;Alipour;Ali Alipour;Iran;FORWARD;2000000;0;0.0
pl-k00105983;Aurelien;Tchouameni;Tchouameni;Aurelien Tchouameni;Frankreich;MIDFIELDER;8000000;38;3.29
pl-k00106053;Roshon;van Eijma;van Eijma;Roshon van Eijma;Curacao;DEFENDER;1000000;0;0.0
pl-k00106067;Alejandro;Romero Gamarra;Kaku;Kaku;Paraguay;MIDFIELDER;2000000;0;0.0
pl-k00106087;Ko;Itakura;Itakura;Ko Itakura;Japan;DEFENDER;4000000;15;3.33
pl-k00106091;Ao;Tanaka;Ao Tanaka;Ao Tanaka;Japan;MIDFIELDER;4000000;18;3.0
pl-k00106095;Mark;McKenzie;McKenzie;Mark McKenzie;USA;DEFENDER;4000000;0;0.0
pl-k00106109;Mohamed;Kanno;Kanno;Mohamed Kanno;Saudi-Arabien;MIDFIELDER;2000000;14;3.33
pl-k00106186;Abdulquddus;Atiah;Atiah;Abdulquddus Atiah;Saudi-Arabien;GOALKEEPER;1000000;0;0.0
pl-k00106205;Yukinari;Sugawara;Sugawara;Yukinari Sugawara;Japan;DEFENDER;2000000;0;0.0
pl-k00106358;Hiroki;Ito;H. Ito;Hiroki Ito;Japan;DEFENDER;4000000;0;4.0
pl-k00106359;Koki;Ogawa;Ko. Ogawa;Koki Ogawa;Japan;FORWARD;2000000;0;0.0
pl-k00106362;Timothy;Weah;Weah;Timothy Weah;USA;MIDFIELDER;4000000;25;3.13
pl-k00106538;Keisuke;Osako;K. Osako;Keisuke Osako;Japan;GOALKEEPER;1000000;0;0.0
pl-k00106559;Abdullah;Al-Khaibari;Abdullah Al-Khaibari;Abdullah Al-Khaibari;Saudi-Arabien;MIDFIELDER;1000000;0;0.0
pl-k00106597;Ayoub;El Kaabi;El Kaabi;Ayoub El Kaabi;Marokko;FORWARD;4000000;0;0.0
pl-k00106599;Mohamed;El-Shenawy;M. El-Shenawy;Mohamed El-Shenawy;Ägypten;GOALKEEPER;2000000;0;0.0
pl-k00106676;Lautaro;Martinez;La. Martinez;Lautaro Martinez;Argentinien;FORWARD;8000000;13;3.83
pl-k00106680;Roger;Ibanez da Silva;Roger Ibanez;Roger Ibanez;Brasilien;DEFENDER;4000000;0;0.0
pl-k00106698;Nick;Woltemade;Woltemade;Nick Woltemade;Deutschland;FORWARD;6000000;0;0.0
pl-k00106891;Mehmet Zeki;Celik;Celik;Mehmet Zeki Celik;Türkei;DEFENDER;4000000;0;0.0
pl-k00106912;Edouard;Mendy;E. Mendy;Edouard Mendy;Senegal;GOALKEEPER;4000000;19;3.5
pl-k00106928;Felix;Nmecha;F. Nmecha;Felix Nmecha;Deutschland;MIDFIELDER;4000000;0;0.0
pl-k00106946;Leo;Östigaard;Östigaard;Leo Östigaard;Norwegen;DEFENDER;2000000;0;0.0
pl-k00107005;Orkun;Kökcü;Kökcü;Orkun Kökcü;Türkei;MIDFIELDER;4000000;0;0.0
pl-k00107290;Rayan;Ait Nouri;Ait Nouri;Rayan Ait Nouri;Algerien;DEFENDER;4000000;0;0.0
pl-k00107395;Liam;Millar;Millar;Liam Millar;Kanada;MIDFIELDER;2000000;2;0.0
pl-k00107513;Noah;Okafor;Okafor;Noah Okafor;Schweiz;FORWARD;4000000;6;0.0
pl-k00107564;Adalberto;Carrasquilla;Carrasquilla;Adalberto Carrasquilla;Panama;MIDFIELDER;2000000;0;0.0
pl-k00107692;Jamal;Musiala;Musiala;Jamal Musiala;Deutschland;MIDFIELDER;8000000;22;3.0
pl-k00107693;Florian;Wirtz;Wirtz;Florian Wirtz;Deutschland;MIDFIELDER;10000000;0;0.0
pl-k00107767;Joan;Garcia;Garcia;Joan Garcia;Spanien;GOALKEEPER;2000000;0;0.0
pl-k00107833;Brian;Brobbey;Brobbey;Brian Brobbey;Niederlande;FORWARD;6000000;0;0.0
pl-k00107834;Jurrien;Timber;J. Timber;Jurrien Timber;Niederlande;DEFENDER;6000000;12;3.75
pl-k00107835;Quinten;Timber;Q. Timber;Quinten Timber;Niederlande;MIDFIELDER;4000000;0;0.0
pl-k00107846;Crysencio;Summerville;Summerville;Crysencio Summerville;Niederlande;FORWARD;4000000;0;0.0
pl-k00107848;Shurandy;Sambo;Sambo;Shurandy Sambo;Curacao;DEFENDER;1000000;0;0.0
pl-k00108054;Godfried;Roemeratoe;Roemeratoe;Godfried Roemeratoe;Curacao;MIDFIELDER;1000000;0;0.0
pl-k00108107;Goncalo Matias;Ramos;Goncalo Ramos;Goncalo Ramos;Portugal;FORWARD;4000000;33;2.5
pl-k00108112;Altay;Bayindir;Bayindir;Altay Bayindir;Türkei;GOALKEEPER;2000000;0;0.0
pl-k00108337;Juan Camilo;Hernandez;Cucho Hernandez;Cucho Hernandez;Kolumbien;FORWARD;4000000;0;0.0
pl-k00108493;José Luis;Rodriguez;Rodriguez;José Luis Rodriguez;Panama;MIDFIELDER;2000000;0;0.0
pl-k00108624;Leverton;Pierre;Pierre;Leverton Pierre;Haiti;MIDFIELDER;1000000;0;0.0
pl-k00108633;Antonee;Robinson;A. Robinson;Antonee Robinson;USA;DEFENDER;4000000;4;4.25
pl-k00108669;Kevin;Yakob;Yakob;Kevin Yakob;Irak;MIDFIELDER;1000000;0;0.0
pl-k00108822;Erling;Haaland;Haaland;Erling Haaland;Norwegen;FORWARD;10000000;0;0.0
pl-k00109674;Malik;Tillman;M. Tillman;Malik Tillman;USA;MIDFIELDER;4000000;0;0.0
pl-k00110076;Mert;Müldür;Müldür;Mert Müldür;Türkei;DEFENDER;2000000;0;0.0
pl-k00110095;Yassin;Fortuné;Fortuné;Yassin Fortuné;Haiti;FORWARD;1000000;0;0.0
pl-k00110131;Francisco Antonio;Machado Mota Castro Trincao;Trincao;Trincao;Portugal;FORWARD;4000000;0;0.0
pl-k00110134;Yan;Valery;Valery;Yan Valery;Tunesien;DEFENDER;2000000;0;0.0
pl-k00110177;Evan;Ndicka;Ndicka;Evan Ndicka;Elfenbeinküste;DEFENDER;4000000;0;0.0
pl-k00110243;Ryan;Gravenberch;Gravenberch;Ryan Gravenberch;Niederlande;MIDFIELDER;8000000;0;0.0
pl-k00110300;Nicolas;Gonzalez;Gonzalez;Nicolas Gonzalez;Argentinien;MIDFIELDER;6000000;0;0.0
pl-k00110311;Chris;Richards;C. Richards;Chris Richards;USA;DEFENDER;4000000;0;0.0
pl-k00110341;Pavel;Bucha;Bucha;Pavel Bucha;Tschechien;MIDFIELDER;2000000;0;0.0
pl-k00110344;Jaroslav;Zeleny;Zeleny;Jaroslav Zeleny;Tschechien;DEFENDER;2000000;0;0.0
pl-k00110515;Mathieu;Choiniere;Choiniere;Mathieu Choiniere;Kanada;MIDFIELDER;2000000;0;0.0
pl-k00110564;Juan Manuel;Sanabria;Sanabria;Juan Manuel Sanabria;Uruguay;MIDFIELDER;2000000;0;0.0
pl-k00110616;Joao Felix;Sequeira;Joao Felix;Joao Felix;Portugal;FORWARD;4000000;27;3.13
pl-k00110655;Jovane Eduardo;Borges Cabral;Jovane Cabral;Jovane Cabral;Kap Verde;FORWARD;1000000;0;0.0
pl-k00110676;Amadou;Onana;A. Onana;Amadou Onana;Belgien;MIDFIELDER;6000000;8;3.25
pl-k00110713;Krepin;Diatta;Diatta;Krepin Diatta;Senegal;DEFENDER;2000000;6;4.0
pl-k00110782;Alexis;Saelemaekers;Saelemaekers;Alexis Saelemaekers;Belgien;FORWARD;4000000;0;0.0
pl-k00110802;Edo;Kayembe;E. Kayembe;Edo Kayembe;DR Kongo;MIDFIELDER;2000000;0;0.0
pl-k00110835;Omar;Rekik;O. Rekik;Omar Rekik;Tunesien;DEFENDER;2000000;0;0.0
pl-k00110836;Jonathan;David;J. David;Jonathan David;Kanada;FORWARD;6000000;12;3.33
pl-k00110964;Juan;Musso;Musso;Juan Musso;Argentinien;GOALKEEPER;1000000;0;0.0
pl-k00111030;Alfie;Jones;Jones;Alfie Jones;Kanada;DEFENDER;2000000;0;0.0
pl-k00111092;Musa;Al-Taamari;Al-Taamari;Musa Al-Taamari;Jordanien;FORWARD;2000000;0;0.0
pl-k00111104;Malick;Thiaw;Thiaw;Malick Thiaw;Deutschland;DEFENDER;4000000;0;0.0
pl-k00111248;Montassar;Talbi;Talbi;Montassar Talbi;Tunesien;DEFENDER;2000000;18;3.0
pl-k00111286;Nayef;Aguerd;Aguerd;Nayef Aguerd;Marokko;DEFENDER;6000000;16;3.5
pl-k00111312;Michael;Woud;Woud;Michael Woud;Neuseeland;GOALKEEPER;1000000;0;0.0
pl-k00111322;Wilson;Isidor;Isidor;Wilson Isidor;Haiti;FORWARD;4000000;0;0.0
pl-k00111323;Youcef;Atal;Atal;Youcef Atal;Algerien;DEFENDER;2000000;0;0.0
pl-k00111352;William;Saliba;Saliba;William Saliba;Frankreich;DEFENDER;8000000;2;0.0
pl-k00111363;Kang-In;Lee;K.-I. Lee;Kang-In Lee;Südkorea;MIDFIELDER;6000000;19;2.5
pl-k00111483;Pedro Antonio;Porro Sauceda;Pedro Porro;Pedro Porro;Spanien;DEFENDER;4000000;0;0.0
pl-k00111568;Cristian;Romero;Romero;Cristian Romero;Argentinien;DEFENDER;6000000;30;3.33
pl-k00111572;Bradley;Cross;Cross;Bradley Cross;Südafrika;DEFENDER;1000000;0;0.0
pl-k00111733;Lewis;Ferguson;Ferguson;Lewis Ferguson;Schottland;MIDFIELDER;4000000;0;0.0
pl-k00111774;Abdul;Mumin;Mumin;Abdul Mumin;Ghana;DEFENDER;2000000;0;0.0
pl-k00111857;Seung-Ho;Paik;Se.-H. Paik;Seung-Ho Paik;Südkorea;MIDFIELDER;2000000;6;0.0
pl-k00111860;Ivor;Pandur;Pandur;Ivor Pandur;Kroatien;GOALKEEPER;1000000;0;0.0
pl-k00111988;Jorge;Sanchez;J. Sanchez;Jorge Sanchez;Mexiko;DEFENDER;2000000;12;3.0
pl-k00112075;Moon-Hwan;Kim;M.-H. Kim;Moon-Hwan Kim;Südkorea;DEFENDER;1000000;4;4.25
pl-k00112076;In-Beom;Hwang;I.-B. Hwang;In-Beom Hwang;Südkorea;MIDFIELDER;4000000;18;3.38
pl-k00112077;Diego;Lainez;Lainez;Diego Lainez;Mexiko;MIDFIELDER;1000000;0;0.0
pl-k00112079;Roberto;Alvarado;Alvarado;Roberto Alvarado;Mexiko;FORWARD;4000000;2;0.0
pl-k00112080;Dan;Ndoye;Ndoye;Dan Ndoye;Schweiz;FORWARD;4000000;0;0.0
pl-k00112101;Nathan;Patterson;Patterson;Nathan Patterson;Schottland;DEFENDER;2000000;0;0.0
pl-k00112135;Jhon;Lucumi;Lucumi;Jhon Lucumi;Kolumbien;DEFENDER;4000000;0;0.0
pl-k00112426;Jörgen;Strand Larsen;Strand Larsen;Jörgen Strand Larsen;Norwegen;FORWARD;4000000;0;0.0
pl-k00112730;Jens;Castrop;Castrop;Jens Castrop;Südkorea;DEFENDER;2000000;0;0.0
pl-k00112780;Takehiro;Tomiyasu;Tomiyasu;Takehiro Tomiyasu;Japan;DEFENDER;4000000;10;3.25
pl-k00112823;Tahith;Chong;Chong;Tahith Chong;Curacao;FORWARD;2000000;0;0.0
pl-k00112868;Eldor;Shomurodov;Shomurodov;Eldor Shomurodov;Usbekistan;FORWARD;4000000;0;0.0
pl-k00112929;Jan Paul;van Hecke;van Hecke;Jan Paul van Hecke;Niederlande;DEFENDER;4000000;0;0.0
pl-k00112936;Dominik;Kotarski;Kotarski;Dominik Kotarski;Kroatien;GOALKEEPER;2000000;0;0.0
pl-k00113011;Dostonbek;Khamdamov;Khamdamov;Dostonbek Khamdamov;Usbekistan;FORWARD;1000000;0;0.0
pl-k00113069;Timothy;Fayulu;Fayulu;Timothy Fayulu;DR Kongo;GOALKEEPER;1000000;0;0.0
pl-k00113146;Andres;Andrade;Andrade;Andres Andrade;Panama;DEFENDER;2000000;0;0.0
pl-k00113163;Gonzalo;Montiel;Montiel;Gonzalo Montiel;Argentinien;DEFENDER;2000000;8;3.75
pl-k00113179;Julian;Alvarez;Alvarez;Julian Alvarez;Argentinien;FORWARD;8000000;63;2.67
pl-k00113185;Joe;Scally;Scally;Joe Scally;USA;DEFENDER;2000000;0;0.0
pl-k00113214;Morgan;Rogers;Rogers;Morgan Rogers;England;MIDFIELDER;6000000;0;0.0
pl-k00113407;Bukayo;Saka;Saka;Bukayo Saka;England;FORWARD;8000000;39;2.88
pl-k00113426;Alejandro;Zendejas;Zendejas;Alejandro Zendejas;USA;MIDFIELDER;2000000;0;0.0
pl-k00113510;Alvaro;Fidalgo;Fidalgo Fernandez;Alvaro Fidalgo;Mexiko;MIDFIELDER;2000000;0;0.0
pl-k00113695;Payam;Niazmand;Niazmand;Payam Niazmand;Iran;GOALKEEPER;1000000;0;0.0
pl-k00113749;Jalal;Hassan;Hassan;Jalal Hassan;Irak;GOALKEEPER;1000000;0;0.0
pl-k00113751;Rebin;Sulaka;Sulaka;Rebin Sulaka;Irak;DEFENDER;1000000;0;0.0
pl-k00113754;Frans;Putros;Putros;Frans Putros;Irak;DEFENDER;1000000;0;0.0
pl-k00113759;Mohanad;Ali;Ali;Mohanad Ali;Irak;FORWARD;2000000;0;0.0
pl-k00113856;Utkir;Yusupov;Yusupov;Utkir Yusupov;Usbekistan;GOALKEEPER;1000000;0;0.0
pl-k00113863;Farrukh;Sayfiev;Sayfiev;Farrukh Sayfiev;Usbekistan;DEFENDER;1000000;0;0.0
pl-k00113866;Odiljon;Hamrobekov;Hamrobekov;Odiljon Hamrobekov;Usbekistan;MIDFIELDER;2000000;0;0.0
pl-k00113867;Otabek;Shukurov;Shukurov;Otabek Shukurov;Usbekistan;MIDFIELDER;2000000;0;0.0
pl-k00113914;Leonardo;Balerdi;Balerdi;Leonardo Balerdi;Argentinien;DEFENDER;4000000;0;0.0
pl-k00113916;Hassan;Al-Haydos;Al-Haydos;Hassan Al-Haydos;Katar;MIDFIELDER;1000000;-2;4.67
pl-k00113920;Karim;Boudiaf;Boudiaf;Karim Boudiaf;Katar;MIDFIELDER;2000000;0;4.75
pl-k00113922;Ahmed;Alaaeldin;Alaaeldin;Ahmed Alaaeldin;Katar;FORWARD;1000000;2;0.0
pl-k00113924;Pedro Miguel;Carvalho Deus Correia;Pedro Miguel;Pedro Miguel;Katar;DEFENDER;2000000;4;4.17
pl-k00113925;Abdulaziz;Hatem;Hatem;Abdulaziz Hatem;Katar;MIDFIELDER;1000000;2;4.5
pl-k00113926;Boualem;Khoukhi;Khoukhi;Boualem Khoukhi;Katar;DEFENDER;2000000;-6;5.0
pl-k00113927;Ahmad;Fathi;Fathi;Ahmad Fathi;Katar;MIDFIELDER;1000000;0;0.0
pl-k00113930;Almoez;Ali;Ali;Almoez Ali;Katar;FORWARD;2000000;0;4.5
pl-k00113931;Sultan;Al-Brake;Al-Brake;Sultan Al-Brake;Katar;DEFENDER;1000000;0;0.0
pl-k00113932;Assim;Madibo;Madibo;Assim Madibo;Katar;MIDFIELDER;2000000;6;3.75
pl-k00113966;Abdulelah;Al-Amri;Al-Amri;Abdulelah Al-Amri;Saudi-Arabien;DEFENDER;1000000;6;4.0
pl-k00113975;Jaloliddin;Masharipov;Masharipov;Jaloliddin Masharipov;Usbekistan;FORWARD;1000000;0;0.0
pl-k00114084;Yazan;Al-Arab;Al-Arab;Yazan Al-Arab;Jordanien;DEFENDER;2000000;0;0.0
pl-k00114094;Ihsan;Haddad;Haddad;Ihsan Haddad;Jordanien;DEFENDER;1000000;0;0.0
pl-k00114256;Moises;Ramirez;Ramirez;Moises Ramirez;Ecuador;GOALKEEPER;1000000;0;0.0
pl-k00114257;Jackson;Porozo;Porozo;Jackson Porozo;Ecuador;DEFENDER;1000000;8;3.0
pl-k00114259;Jordy;Alcivar;Alcivar;Jordy Alcivar;Ecuador;MIDFIELDER;1000000;0;0.0
pl-k00114277;Gonzalo;Plata;Plata;Gonzalo Plata;Ecuador;FORWARD;4000000;12;3.5
pl-k00114290;Braian;Ojeda;B. Ojeda;Braian Ojeda;Paraguay;MIDFIELDER;2000000;0;0.0
pl-k00114307;Orlando;Gill;Gill;Orlando Gill;Paraguay;GOALKEEPER;4000000;0;0.0
pl-k00114311;Sebastian;Caceres;S. Caceres;Sebastian Caceres;Uruguay;DEFENDER;2000000;0;0.0
pl-k00114315;Maximiliano Javier;Araujo Vilches;Maxi Araujo;Maxi Araujo;Uruguay;FORWARD;4000000;0;0.0
pl-k00114317;Rodrigo;Zalazar;R. Zalazar;Rodrigo Zalazar;Uruguay;MIDFIELDER;4000000;0;0.0
pl-k00114335;Darwin Gabriel;Nunez Ribeiro;Darwin;Darwin;Uruguay;FORWARD;6000000;8;3.83
pl-k00114376;Facundo;Medina;Medina;Facundo Medina;Argentinien;DEFENDER;2000000;0;0.0
