ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00088866;Fabian;Balbuena;Balbuena;Fabian Balbuena;Paraguay;DEFENDER;1000000;0;0.0
pl-k00088946;Gervane;Kastaneer;Kastaneer;Gervane Kastaneer;Curacao;FORWARD;1000000;0;0.0
pl-k00088970;Lawrence;Ati Zigi;Ati Zigi;Lawrence Ati Zigi;Ghana;GOALKEEPER;2000000;22;2.67
pl-k00089012;Wout;Weghorst;Weghorst;Wout Weghorst;Niederlande;FORWARD;4000000;24;1.0
pl-k00089060;Shogo;Taniguchi;Taniguchi;Shogo Taniguchi;Japan;DEFENDER;1000000;6;3.75
pl-k00089096;José Pedro;Malheiro de Sa;José Sa;José Sa;Portugal;GOALKEEPER;2000000;0;0.0
pl-k00089148;Victor;Lindelöf;Lindelöf;Victor Lindelöf;Schweden;DEFENDER;4000000;0;0.0
pl-k00089308;Djibril;Sow;Sow;Djibril Sow;Schweiz;MIDFIELDER;2000000;11;3.88
pl-k00089313;Unai;Simon Mendibil;Unai Simon;Unai Simon;Spanien;GOALKEEPER;6000000;26;3.0
pl-k00089321;Rodrigo;Hernandez Cascante;Rodri;Rodri;Spanien;MIDFIELDER;8000000;14;3.63
pl-k00089322;Mikel;Merino;Merino;Mikel Merino;Spanien;MIDFIELDER;4000000;0;0.0
pl-k00089356;Manuel;Akanji;Akanji;Manuel Akanji;Schweiz;DEFENDER;6000000;19;3.63
pl-k00089361;Denis;Zakaria;Zakaria;Denis Zakaria;Schweiz;MIDFIELDER;4000000;-2;5.0
pl-k00089434;Xaver;Schlager;X. Schlager;Xaver Schlager;Österreich;MIDFIELDER;4000000;0;0.0
pl-k00089444;Marcus;Thuram;Thuram;Marcus Thuram;Frankreich;FORWARD;6000000;14;3.0
pl-k00089452;Laros Michael;d'Encarnacao Duarte;Laros Duarte;Laros Duarte;Kap Verde;MIDFIELDER;1000000;0;0.0
pl-k00089457;Frenkie;de Jong;F. de Jong;Frenkie de Jong;Niederlande;MIDFIELDER;6000000;30;3.4
pl-k00089649;Ramy;Bensebaini;Bensebaini;Ramy Bensebaini;Algerien;DEFENDER;4000000;0;0.0
pl-k00089655;Ellyes;Skhiri;Skhiri;Ellyes Skhiri;Tunesien;MIDFIELDER;4000000;16;3.17
pl-k00089781;Carlens;Arcus;Arcus;Carlens Arcus;Haiti;DEFENDER;1000000;0;0.0
pl-k00090003;Juninho;Bacuna;J. Bacuna;Juninho Bacuna;Curacao;MIDFIELDER;1000000;0;0.0
pl-k00090018;Sofyan;Amrabat;Amrabat;Sofyan Amrabat;Marokko;MIDFIELDER;4000000;56;2.71
pl-k00090022;Brandley;Kuwas;Kuwas;Brandley Kuwas;Curacao;FORWARD;1000000;0;0.0
pl-k00090036;Ivan;Toney;Toney;Ivan Toney;England;FORWARD;4000000;0;0.0
pl-k00090042;Marco;Friedl;Friedl;Marco Friedl;Österreich;DEFENDER;4000000;0;0.0
pl-k00090213;Stefan;Posch;Posch;Stefan Posch;Österreich;DEFENDER;4000000;0;0.0
pl-k00090353;Abdülkerim;Bardakci;Bardakci;Abdülkerim Bardakci;Türkei;DEFENDER;4000000;0;0.0
pl-k00090404;Nelson;Cabral Semedo;Nelson Semedo;Nelson Semedo;Portugal;DEFENDER;2000000;0;0.0
pl-k00090515;Fabian;Ruiz Pena;Fabian;Fabian;Spanien;MIDFIELDER;6000000;0;0.0
pl-k00090525;Jefferson;Lerma;Lerma;Jefferson Lerma;Kolumbien;MIDFIELDER;4000000;0;0.0
pl-k00090574;Dominik;Livakovic;Livakovic;Dominik Livakovic;Kroatien;GOALKEEPER;6000000;66;2.5
pl-k00090698;Awer;Mabil;Mabil;Awer Mabil;Australien;FORWARD;1000000;4;0.0
pl-k00090788;Wataru;Endo;W. Endo;Wataru Endo;Japan;MIDFIELDER;4000000;16;3.33
pl-k00090828;Kieran;Tierney;Tierney;Kieran Tierney;Schottland;DEFENDER;4000000;0;0.0
pl-k00090830;Jamiro Gregory;Monteiro Alvarenga;Jamiro Monteiro;Jamiro Monteiro;Kap Verde;MIDFIELDER;1000000;0;0.0
pl-k00090873;Caglar;Söyüncü;Söyüncü;Caglar Söyüncü;Türkei;DEFENDER;2000000;0;0.0
pl-k00090950;Kye;Rowles;Rowles;Kye Rowles;Australien;DEFENDER;1000000;12;3.75
pl-k00090958;Alisson;Ramses Becker;Alisson;Alisson;Brasilien;GOALKEEPER;8000000;28;3.0
pl-k00090996;Exequiel;Palacios;Palacios;Exequiel Palacios;Argentinien;MIDFIELDER;4000000;6;0.0
pl-k00091000;German;Berterame;Berterame;German Berterame;Mexiko;FORWARD;2000000;0;0.0
pl-k00091055;Mikel;Oyarzabal;Oyarzabal;Mikel Oyarzabal;Spanien;FORWARD;8000000;0;0.0
pl-k00091083;Nikola;Moro;Moro;Nikola Moro;Kroatien;MIDFIELDER;2000000;0;0.0
pl-k00091090;Kenny;McLean;McLean;Kenny McLean;Schottland;MIDFIELDER;2000000;0;0.0
pl-k00091110;Axel;Tuanzebe;Tuanzebe;Axel Tuanzebe;DR Kongo;DEFENDER;2000000;0;0.0
pl-k00091130;Patrick;Pentz;Pentz;Patrick Pentz;Österreich;GOALKEEPER;2000000;0;0.0
pl-k00091136;Dodi;Lukebakio;Lukebakio;Dodi Lukebakio;Belgien;FORWARD;4000000;0;0.0
pl-k00091137;Ousmane;Dembelé;Dembelé;Ousmane Dembelé;Frankreich;FORWARD;10000000;22;3.75
pl-k00091194;Nihad;Mujakic;Mujakic;Nihad Mujakic;Bosnien-Herzegowina;DEFENDER;1000000;0;0.0
pl-k00091289;Marcus;Rashford;Rashford;Marcus Rashford;England;FORWARD;6000000;32;1.5
pl-k00091305;Issa;Diop;Diop;Issa Diop;Marokko;DEFENDER;4000000;0;0.0
pl-k00091368;Alban;Lafont;Lafont;Alban Lafont;Elfenbeinküste;GOALKEEPER;2000000;0;0.0
pl-k00091403;Hee-Chan;Hwang;H.-C. Hwang;Hee-Chan Hwang;Südkorea;MIDFIELDER;4000000;12;3.0
pl-k00091409;Kylian;Mbappé;Mbappé;Kylian Mbappé;Frankreich;FORWARD;10000000;105;1.75
pl-k00091463;Ryan;Christie;Christie;Ryan Christie;Schottland;MIDFIELDER;4000000;0;0.0
pl-k00091537;Jules;Koundé;Koundé;Jules Koundé;Frankreich;DEFENDER;6000000;28;3.2
pl-k00091555;Eray;Cömert;Cömert;Eray Cömert;Schweiz;DEFENDER;2000000;-2;5.0
pl-k00091959;Amir;Hadziahmetovic;Hadziahmetovic;Amir Hadziahmetovic;Bosnien-Herzegowina;MIDFIELDER;2000000;0;0.0
pl-k00092246;Theo;Hernandez;Theo;Theo;Frankreich;DEFENDER;6000000;33;3.33
pl-k00092347;Maxime;Crepeau;Crepeau;Maxime Crepeau;Kanada;GOALKEEPER;4000000;0;0.0
pl-k00092690;Cedric;Itten;Itten;Cedric Itten;Schweiz;FORWARD;2000000;0;0.0
pl-k00093122;Ruben Santos Gato Alves;Dias;Ruben Dias;Ruben Dias;Portugal;DEFENDER;8000000;16;3.5
pl-k00093334;Joris;Kayembe;J. Kayembe;Joris Kayembe;DR Kongo;DEFENDER;1000000;0;0.0
pl-k00093378;Edilson Alberto;Monteiro Sanches Borges;Diney;Diney;Kap Verde;DEFENDER;1000000;0;0.0
pl-k00093439;Rui Tiago;Dantas da Silva;Rui Silva;Rui Silva;Portugal;GOALKEEPER;2000000;0;0.0
pl-k00093477;John;McGinn;McGinn;John McGinn;Schottland;MIDFIELDER;4000000;0;0.0
pl-k00093739;Haji;Wright;Wright;Haji Wright;USA;FORWARD;2000000;9;4.5
pl-k00093752;Denzel;Dumfries;Dumfries;Denzel Dumfries;Niederlande;DEFENDER;6000000;29;3.4
