ID;Verein;Position;Elo;Elo-Stärke;exp_games;Erwartete Spiele (Elo);exp_gd;Erwartete Tordifferenz (Elo)
pl-k00072654;Frankreich;GOALKEEPER;1969.9;0.8739;6.141;5.3667;7.58;6.6243
pl-k00072663;Elfenbeinküste;MIDFIELDER;;0.0;3.89;0.0;-2.143;-0.0
pl-k00072712;Curacao;DEFENDER;1640.4;0.9416;3.121;2.9386;-6.73;-6.3368
pl-k00072716;Niederlande;DEFENDER;1996.3;0.8822;5.268;4.6476;3.773;3.3286
pl-k00072755;Deutschland;GOALKEEPER;1915.0;0.8734;5.097;4.4517;3.97;3.4674
pl-k00073097;Australien;DEFENDER;1518.4;0.7965;4.066;3.2386;-0.993;-0.7909
pl-k00073206;Österreich;MIDFIELDER;1937.4;0.8878;4.129;3.6656;-1.1;-0.9766
pl-k00073311;Österreich;MIDFIELDER;1395.3;0.6394;4.129;2.64;-1.1;-0.7033
pl-k00073393;Ghana;DEFENDER;1699.1;0.8026;3.144;2.5235;-6.374;-5.116
pl-k00073842;Kap Verde;DEFENDER;1462.8;0.7448;3.272;2.4371;-5.876;-4.3767
pl-k00073943;Mexiko;FORWARD;;0.0;4.905;0.0;2.864;0.0
pl-k00074093;Ägypten;MIDFIELDER;1967.7;0.942;3.951;3.7219;-1.446;-1.3622
pl-k00074274;Senegal;FORWARD;1236.1;0.5917;4.598;2.7209;0.171;0.1012
pl-k00074305;Neuseeland;DEFENDER;1280.0;0.6926;3.48;2.4104;-3.434;-2.3785
pl-k00074369;Marokko;GOALKEEPER;;0.0;4.418;0.0;0.331;0.0
pl-k00074841;Kolumbien;MIDFIELDER;1088.5;0.5689;5.21;2.964;3.512;1.998
pl-k00074928;England;GOALKEEPER;571.1;0.2569;5.687;1.4609;6.383;1.6397
pl-k00074936;Brasilien;DEFENDER;2062.3;0.9075;5.351;4.856;5.126;4.6519
pl-k00074991;Argentinien;GOALKEEPER;;0.0;5.991;0.0;8.658;0.0
pl-k00075008;Niederlande;MIDFIELDER;1855.9;0.8202;5.268;4.3207;3.773;3.0945
pl-k00075023;Portugal;DEFENDER;2049.4;0.874;5.302;4.6339;3.99;3.4872
pl-k00075027;Schweiz;GOALKEEPER;1737.1;0.8378;5.181;4.3407;4.737;3.9687
pl-k00075068;Katar;DEFENDER;1408.8;0.8185;3.194;2.6141;-5.532;-4.5277
pl-k00075076;Senegal;DEFENDER;2034.9;0.9741;4.598;4.4791;0.171;0.1666
pl-k00075102;Kap Verde;FORWARD;1288.1;0.6559;3.272;2.1461;-5.876;-3.854
pl-k00075261;Bosnien-Herzegowina;FORWARD;;0.0;3.738;0.0;-2.61;-0.0
pl-k00075379;Schweiz;DEFENDER;1764.2;0.8509;5.181;4.4084;4.737;4.0306
pl-k00075584;Frankreich;MIDFIELDER;1836.1;0.8146;6.141;5.0022;7.58;6.1744
pl-k00075612;Bosnien-Herzegowina;MIDFIELDER;1536.2;0.8343;3.738;3.1188;-2.61;-2.1776
pl-k00075628;Türkei;MIDFIELDER;792.0;0.3819;4.976;1.9003;2.252;0.86
pl-k00075738;Australien;DEFENDER;1458.1;0.7649;4.066;3.11;-0.993;-0.7595
pl-k00075849;Spanien;DEFENDER;1890.0;0.7991;6.547;5.2316;13.21;10.5559
pl-k00075878;Australien;GOALKEEPER;1906.3;1.0;4.066;4.066;-0.993;-0.993
pl-k00075957;Ägypten;DEFENDER;;0.0;3.951;0.0;-1.446;-0.0
pl-k00075963;Ägypten;MIDFIELDER;1519.5;0.7275;3.951;2.8742;-1.446;-1.0519
pl-k00075982;Curacao;DEFENDER;1642.0;0.9425;3.121;2.9415;-6.73;-6.3429
pl-k00076167;DR Kongo;DEFENDER;1802.2;0.8694;3.371;2.9308;-4.126;-3.5872
pl-k00076249;Kap Verde;GOALKEEPER;1308.2;0.6661;3.272;2.1796;-5.876;-3.9141
pl-k00076421;Österreich;DEFENDER;1760.8;0.8069;4.129;3.3315;-1.1;-0.8875
pl-k00076459;England;DEFENDER;1995.4;0.8975;5.687;5.1043;6.383;5.729
