ID;Marktwert TM;TM-ID;TM-Name;Verein
pl-k00077358;900000.0;73517;Ørjan Nyland;Norwegen
pl-k00077564;2000000.0;188862;Guillermo Varela;Uruguay
pl-k00077709;17000000.0;223367;Fredrik Aursnes;Norwegen
pl-k00078155;900000.0;126014;Leandro Bacuna;Curacao
pl-k00078170;200000.0;79294;Eloy Room;Curacao
pl-k00078181;10000000.0;191056;Brice Samba;Frankreich
pl-k00078230;18000000.0;139208;Virgil van Dijk;Niederlande
pl-k00078543;;260807;Jonathan Osorio;Kanada
pl-k00078573;1800000.0;262939;Johan Mojica;Kolumbien
pl-k00078750;40000000.0;240306;Bruno Fernandes;Portugal
pl-k00079032;;177775;Mitchell Duke;Australien
pl-k00079078;4500000.0;248454;Nikola Vasilj;Bosnien-Herzegowina
pl-k00079176;9000000.0;232320;Atakan Karazor;Türkei
pl-k00079478;22000000.0;250845;José María Giménez;Uruguay
pl-k00079504;2000000.0;195736;Florian Grillitsch;Österreich
pl-k00079536;600000.0;265625;Ajdin Hrustic;Australien
pl-k00079543;23000000.0;192565;Leroy Sané;Deutschland
pl-k00080083;17000000.0;232454;Nadiem Amiri;Deutschland
pl-k00080174;18000000.0;193004;Waldemar Anton;Deutschland
pl-k00080229;7000000.0;234523;Antonio Sanabria;Paraguay
pl-k00080522;8500000.0;215390;Gustavo Gómez;Paraguay
pl-k00080587;2000000.0;249303;Dennis Eckert Ayensa;Iran
pl-k00080630;8000000.0;220793;Douglas Santos;Brasilien
pl-k00080786;35000000.0;249565;Youri Tielemans;Belgien
pl-k00081053;2700000.0;157672;Vladimír Coufal;Tschechien
pl-k00081250;3000000.0;236168;Brandon Mechele;Belgien
pl-k00081292;10000000.0;185245;Jhon Córdoba;Kolumbien
pl-k00081362;7000000.0;205938;Mario Pašalić;Kroatien
pl-k00081442;1800000.0;164904;Mory Diaw;Senegal
pl-k00081465;24000000.0;193082;Alejandro Grimaldo;Spanien
pl-k00081503;5000000.0;280701;Théo Bongonda;DR Kongo
pl-k00081538;1500000.0;178614;Jean Michaël Seri;Elfenbeinküste
pl-k00081694;7500000.0;282144;Marin Pongracic;Kroatien
pl-k00081971;1500000.0;192557;Jackson Irvine;Australien
pl-k00082152;20000000.0;281963;Lucas Hernández;Frankreich
pl-k00082469;10000000.0;262226;Timothy Castagne;Belgien
pl-k00082709;325000.0;170895;Garry Rodrigues;Kap Verde
pl-k00082878;30000000.0;234803;Andrew Robertson;Schottland
pl-k00082905;3800000.0;139503;Enner Valencia;Ecuador
pl-k00082915;12000000.0;237662;Breel Embolo;Schweiz
pl-k00082944;;74113;Camilo Vargas;Kolumbien
pl-k00083013;5000000.0;166237;Leandro Paredes;Argentinien
pl-k00083248;3000000.0;213268;Alireza Jahanbakhsh;Iran
pl-k00083526;1800000.0;80293;Aïssa Mandi;Algerien
pl-k00083529;18000000.0;171424;Riyad Mahrez;Algerien
pl-k00083712;3500000.0;343463;Cyle Larin;Kanada
pl-k00083783;8000000.0;273000;Júnior Alonso;Paraguay
pl-k00083984;6000000.0;258987;Carl Starfelt;Schweden
pl-k00083987;4000000.0;222855;Jesper Karlström;Schweden
pl-k00084324;4000000.0;148252;Remo Freuler;Schweiz
pl-k00084365;8000000.0;192635;Nico Elvedi;Schweiz
pl-k00084527;4500000.0;189410;Rodrigo Aguirre;Uruguay
pl-k00084530;4000000.0;328609;Derek Cornelius;Kanada
pl-k00084740;900000.0;203357;Ryan Thomas;Neuseeland
pl-k00084940;12000000.0;225657;Philipp Lienhart;Österreich
pl-k00084943;32000000.0;223967;Konrad Laimer;Österreich
pl-k00085071;;186374;Alexander Schlager;Österreich
pl-k00085122;3000000.0;46413;Ante Budimir;Kroatien
pl-k00085245;27000000.0;241641;Bernardo Silva;Portugal
pl-k00085275;9000000.0;229604;Gerónimo Rulli;Argentinien
pl-k00085276;15000000.0;255901;Rodrigo De Paul;Argentinien
pl-k00085349;40000000.0;225161;Rúben Neves;Portugal
pl-k00085376;2500000.0;181380;Arthur Masuaku;DR Kongo
pl-k00085378;3500000.0;242089;Jindrich Stanek;Tschechien
pl-k00085465;10000000.0;293200;Nikola Vlašić;Kroatien
pl-k00085665;15000000.0;238223;Ederson;Brasilien
pl-k00085696;6000000.0;137576;Hans Vanaken;Belgien
pl-k00085778;25000000.0;242086;Patrik Schick;Tschechien
pl-k00085906;9000000.0;255906;Scott McKenna;Schottland
pl-k00085917;2500000.0;225744;Lawrence Shankland;Schottland
pl-k00086035;6000000.0;225122;Gonçalo Guedes;Portugal
pl-k00086109;7000000.0;238266;Duje Caleta-Car;Kroatien
pl-k00086141;55000000.0;309400;Kai Havertz;Deutschland
pl-k00086183;;216278;Tomas Holes;Tschechien
pl-k00086391;22000000.0;282411;Marcos Llorente;Spanien
pl-k00086584;25000000.0;255508;Iñaki Williams;Ghana
pl-k00086910;5000000.0;278359;Borja Iglesias;Spanien
pl-k00087248;3500000.0;264014;Sergio Rochet;Uruguay
pl-k00087254;4000000.0;357003;Martin Erlić;Kroatien
pl-k00087278;3000000.0;226524;Morten Thorsby;Norwegen
pl-k00087371;;188881;Osman Hadzikic;Bosnien-Herzegowina
pl-k00087507;1500000.0;203517;Steven Moreira;Kap Verde
pl-k00087534;12000000.0;225083;N'Golo Kanté;Frankreich
pl-k00087576;9000000.0;250844;Alexander Djiku;Ghana
pl-k00087673;40000000.0;257814;Gregor Kobel;Schweiz
pl-k00087704;22000000.0;263236;Kevin Danso;Österreich
pl-k00087705;22000000.0;335457;Ermedin Demirovic;Bosnien-Herzegowina
pl-k00087735;4500000.0;216603;İrfan Can Kahveci;Türkei
pl-k00087750;20000000.0;318204;David Raum;Deutschland
pl-k00087823;2000000.0;314398;Jae-sung Lee;Südkorea
pl-k00087867;20000000.0;294808;Franck Kessié;Elfenbeinküste
pl-k00087885;25000000.0;339314;Deniz Undav;Deutschland
pl-k00087974;7500000.0;321204;Michal Sadílek;Tschechien
pl-k00088045;50000000.0;284857;Marc Cucurella;Spanien
pl-k00088049;60000000.0;293385;Dani Olmo;Spanien
pl-k00088147;2000000.0;283489;Luca Zidane;Algerien
pl-k00088151;70000000.0;344695;Dayot Upamecano;Frankreich
pl-k00088739;;248410;Giorgian de Arrascaeta;Uruguay
pl-k00088771;60000000.0;315779;Christian Pulisic;USA
pl-k00088866;1500000.0;285548;Fabián Balbuena;Paraguay
pl-k00088970;;254285;Lawrence Ati Zigi;Ghana
pl-k00089012;3500000.0;228645;Wout Weghorst;Niederlande
pl-k00089060;800000.0;307870;Shogo Taniguchi;Japan
pl-k00089096;5000000.0;249994;José Sá;Portugal
pl-k00089148;15000000.0;184573;Victor Lindelöf;Schweden
pl-k00089308;9000000.0;212723;Djibril Sow;Schweiz
pl-k00089313;30000000.0;262396;Unai Simón;Spanien
pl-k00089321;75000000.0;357565;Rodri;Spanien
pl-k00089322;30000000.0;338424;Mikel Merino;Spanien
pl-k00089356;22000000.0;284730;Manuel Akanji;Schweiz
pl-k00089361;25000000.0;334526;Denis Zakaria;Schweiz
pl-k00089434;28000000.0;223979;Xaver Schlager;Österreich
pl-k00089444;60000000.0;318528;Marcus Thuram;Frankreich
pl-k00089452;1000000.0;258513;Laros Duarte;Kap Verde
pl-k00089457;70000000.0;326330;Frenkie de Jong;Niederlande
pl-k00089649;7000000.0;284732;Ramy Bensebaini;Algerien
pl-k00089655;6000000.0;290587;Ellyes Skhiri;Tunesien
pl-k00089781;700000.0;371686;Carlens Arcus;Haiti
pl-k00090003;4500000.0;348863;Juninho Bacuna;Curacao
pl-k00090018;22000000.0;287579;Sofyan Amrabat;Marokko
pl-k00090022;450000.0;232219;Brandley Kuwas;Curacao
pl-k00090036;50000000.0;251664;Ivan Toney;England
pl-k00090042;12000000.0;156990;Marco Friedl;Österreich
pl-k00090213;14000000.0;223974;Stefan Posch;Österreich
pl-k00090404;7500000.0;231572;Nélson Semedo;Portugal
pl-k00090515;40000000.0;350219;Fabián Ruiz;Spanien
pl-k00090525;8000000.0;262980;Jefferson Lerma;Kolumbien
pl-k00090574;11000000.0;205927;Dominik Livakovic;Kroatien
pl-k00090788;5000000.0;146310;Wataru Endo;Japan
pl-k00090828;8000000.0;300716;Kieran Tierney;Schottland
pl-k00090830;750000.0;272930;Jamiro Monteiro;Kap Verde
pl-k00090873;6000000.0;320141;Çağlar Söyüncü;Türkei
pl-k00090950;1200000.0;399990;Kye Rowles;Australien
pl-k00090958;17000000.0;105470;Alisson;Brasilien
pl-k00090996;30000000.0;401578;Exequiel Palacios;Argentinien
pl-k00091000;;401572;Germán Berterame;Mexiko
pl-k00091055;25000000.0;351478;Mikel Oyarzabal;Spanien
pl-k00091083;6500000.0;316934;Nikola Moro;Kroatien
pl-k00091090;1200000.0;126600;Kenny McLean;Schottland
pl-k00091110;5000000.0;342046;Axel Tuanzebe;DR Kongo
pl-k00091130;2200000.0;223972;Patrick Pentz;Österreich
pl-k00091136;20000000.0;303259;Dodi Lukébakio;Belgien
pl-k00091137;100000000.0;288230;Ousmane Dembélé;Frankreich
pl-k00091194;2000000.0;380919;Nihad Mujakic;Bosnien-Herzegowina
